"feature","score","direction","type","gene","overall.rank","type.rank","direction.rank"
"cn.FOXD4L3",0.561063784034492,"less","cn","FOXD4L3",24996,15089,13098
"ge.NMUR1",0.561116655767155,"greater","ge","NMUR1",24997,13696,15687
"ge.PLK1",0.561231073524989,"greater","ge","PLK1",24998,13697,15688
"cn.CACNA1I",0.561232881853277,"greater","cn","CACNA1I",24999,15090,15689
"ge.TEX37",0.561256680784874,"greater","ge","TEX37",25000,13698,15690
"cn.PGM5P2",0.561309057442907,"greater","cn","PGM5P2",25001,15091,15691
"cn.ARVCF",0.56135822515877,"less","cn","ARVCF",25002,15092,13099
"ge.EPB41L5",0.561456189468798,"less","ge","EPB41L5",25003,13699,13100
"cn.LCT",0.561470911573986,"less","cn","LCT",25004,15093,13101
"ge.AOC1",0.56152709765964,"greater","ge","AOC1",25005,13700,15692
"cn.PDE4DIP",0.561558874530994,"less","cn","PDE4DIP",25006,15094,13102
"ge.CSNK1G2.AS1",0.561565833650223,"less","ge","CSNK1G2.AS1",25007,13701,13103
"cn.N4BP2L2.IT2",0.561586127282234,"greater","cn","N4BP2L2.IT2",25008,15095,15693
"cn.BCL7C",0.561586687039747,"greater","cn","BCL7C",25009,15096,15694
"cn.RQCD1",0.561593857932248,"less","cn","RQCD1",25010,15097,13104
"cn.USP37",0.561593857932248,"less","cn","USP37",25010,15098,13105
"cn.MID1",0.561617780980543,"greater","cn","MID1",25011,15099,15695
"cn.NTNG2",0.561618012171261,"less","cn","NTNG2",25012,15100,13106
"cn.CD84",0.5616502623733,"less","cn","CD84",25013,15101,13107
"ge.BMP8A",0.561679699979832,"greater","ge","BMP8A",25014,13702,15696
"ge.C16ORF45",0.56168222501326,"less","ge","C16ORF45",25015,13703,13108
"cn.PTX4",0.561704067923014,"less","cn","PTX4",25016,15102,13109
"cn.KCNJ4",0.561709123223165,"greater","cn","KCNJ4",25017,15103,15697
"ge.TRIM25",0.561791838243699,"less","ge","TRIM25",25018,13704,13110
"ge.PLIN4",0.561830314071334,"less","ge","PLIN4",25019,13705,13111
"cn.CERS6",0.561870835119387,"less","cn","CERS6",25020,15104,13112
"ge.SLC24A1",0.562094280449202,"greater","ge","SLC24A1",25021,13706,15698
"cn.HCAR3",0.562099690444104,"greater","cn","HCAR3",25022,15105,15699
"ge.CSPG5",0.562151341659285,"greater","ge","CSPG5",25023,13707,15700
"cn.GBE1",0.562152179512276,"less","cn","GBE1",25024,15106,13113
"ge.LYAR",0.562163614744275,"greater","ge","LYAR",25025,13708,15701
"cn.SFMBT2",0.562216344061623,"less","cn","SFMBT2",25026,15107,13114
"cn.DOCK9",0.562322873020936,"less","cn","DOCK9",25027,15108,13115
"ge.RLN3",0.562354666642046,"greater","ge","RLN3",25028,13709,15702
"cn.DTD2",0.562449401997192,"greater","cn","DTD2",25029,15109,15703
"ge.GATA3.AS1",0.562505313923252,"greater","ge","GATA3.AS1",25030,13710,15704
"ge.KCNK2",0.562718952066284,"less","ge","KCNK2",25031,13711,13116
"ge.SYT9",0.562749667104136,"less","ge","SYT9",25032,13712,13117
"ge.DONSON",0.562756300735326,"greater","ge","DONSON",25033,13713,15705
"ge.SLC28A1",0.562768287784893,"less","ge","SLC28A1",25034,13714,13118
"cn.SSPO",0.56276942443211,"greater","cn","SSPO",25035,15110,15706
"cn.HSPA12A",0.562859325787747,"less","cn","HSPA12A",25036,15111,13119
"ge.KCNK6",0.562875557044063,"less","ge","KCNK6",25037,13715,13120
"cn.FAM73A",0.562980523657549,"less","cn","FAM73A",25038,15112,13121
"ge.AMOTL1",0.563066296100812,"less","ge","AMOTL1",25039,13716,13122
"cn.ERICH3",0.563088197545707,"greater","cn","ERICH3",25040,15113,15707
"cn.PITPNB",0.563158773329293,"greater","cn","PITPNB",25041,15114,15708
"cn.RHBDD3",0.563170487035028,"greater","cn","RHBDD3",25042,15115,15709
"cn.PLPP4",0.563216292556229,"less","cn","PLPP4",25043,15116,13123
"cn.CREB1",0.563354238235447,"less","cn","CREB1",25044,15117,13124
"cn.METTL21A",0.563354238235447,"less","cn","METTL21A",25044,15118,13125
"ge.TAAR8",0.563394436234843,"less","ge","TAAR8",25045,13717,13126
"cn.FGL2",0.563396521045429,"less","cn","FGL2",25046,15119,13127
"cn.ABCB6",0.563520424951386,"less","cn","ABCB6",25047,15120,13128
"cn.CNPPD1",0.563520424951386,"less","cn","CNPPD1",25047,15121,13129
"cn.FAM134A",0.563520424951386,"less","cn","FAM134A",25047,15122,13130
"cn.ZFAND2B",0.563520424951386,"less","cn","ZFAND2B",25047,15123,13131
"ge.CDKL1",0.563542612122599,"less","ge","CDKL1",25048,13718,13132
"cn.FN3KRP",0.563550128785186,"less","cn","FN3KRP",25049,15124,13133
"ge.ULK2",0.563570704758333,"less","ge","ULK2",25050,13719,13134
"ge.FKRP",0.563606924559964,"greater","ge","FKRP",25051,13720,15710
"cn.DENND5B",0.563946813492318,"less","cn","DENND5B",25052,15125,13135
"ge.EIF3D",0.564064617952309,"greater","ge","EIF3D",25053,13721,15711
"cn.NBEAL1",0.564067144231531,"less","cn","NBEAL1",25054,15126,13136
"cn.GP2",0.564139170915833,"greater","cn","GP2",25055,15127,15712
"cn.UMOD",0.564139170915833,"greater","cn","UMOD",25055,15128,15713
"cn.UMOD.1",0.564139170915833,"greater","cn","UMOD.1",25055,15129,15714
"cn.NUP62CL",0.564269703045154,"less","cn","NUP62CL",25056,15130,13137
"cn.PIH1D3",0.564269703045154,"less","cn","PIH1D3",25056,15131,13138
"cn.RBM41",0.564269703045154,"less","cn","RBM41",25056,15132,13139
"ge.KRTAP1.1",0.564375291150139,"less","ge","KRTAP1.1",25057,13722,13140
"ge.KIR2DS4",0.564419585219584,"greater","ge","KIR2DS4",25058,13723,15715
"cn.PDK2",0.564467880176138,"less","cn","PDK2",25059,15133,13141
"cn.SAMD14",0.564467880176138,"less","cn","SAMD14",25059,15134,13142
"cn.PPIG",0.564511583738521,"less","cn","PPIG",25060,15135,13143
"cn.CFHR1",0.564530941788655,"less","cn","CFHR1",25061,15136,13144
"ge.SOX6",0.56464684797388,"greater","ge","SOX6",25062,13724,15716
"cn.ARFGAP3",0.564647678581036,"greater","cn","ARFGAP3",25063,15137,15717
"ge.CCDC158",0.564661335626805,"greater","ge","CCDC158",25064,13725,15718
"cn.FGD5",0.564753724668409,"greater","cn","FGD5",25065,15138,15719
"cn.GRB2",0.564946207401132,"less","cn","GRB2",25066,15139,13145
"ge.DOCK3",0.564968403073931,"greater","ge","DOCK3",25067,13726,15720
"cn.C6ORF62",0.565008829030817,"greater","cn","C6ORF62",25068,15140,15721
"cn.PTPN11",0.565317575164912,"less","cn","PTPN11",25069,15141,13146
"cn.IQCG",0.565331495381176,"less","cn","IQCG",25070,15142,13147
"cn.KRT24",0.565439549963438,"greater","cn","KRT24",25071,15143,15722
"cn.SGPP2",0.565550233727628,"less","cn","SGPP2",25072,15144,13148
"cn.BAG3",0.565565187022312,"less","cn","BAG3",25073,15145,13149
"cn.RNFT2",0.565664030702784,"less","cn","RNFT2",25074,15146,13150
"cn.ANGEL1",0.565802861122663,"less","cn","ANGEL1",25075,15147,13151
"cn.CUL1",0.56580307022982,"greater","cn","CUL1",25076,15148,15723
"ge.CDX2",0.565872871520311,"less","ge","CDX2",25077,13727,13152
"cn.GRM2",0.5659018492191,"greater","cn","GRM2",25078,15149,15724
"cn.IQCF1",0.5659018492191,"greater","cn","IQCF1",25078,15150,15725
"cn.IQCF2",0.5659018492191,"greater","cn","IQCF2",25078,15151,15726
"cn.IQCF3",0.5659018492191,"greater","cn","IQCF3",25078,15152,15727
"cn.IQCF5",0.5659018492191,"greater","cn","IQCF5",25078,15153,15728
"cn.IQCF6",0.5659018492191,"greater","cn","IQCF6",25078,15154,15729
"cn.TEX264",0.5659018492191,"greater","cn","TEX264",25078,15155,15730
"cn.MAVS",0.565966510497195,"greater","cn","MAVS",25079,15156,15731
"cn.DGCR2",0.566040598421306,"less","cn","DGCR2",25080,15157,13153
"ge.CAMK1G",0.566064198290795,"greater","ge","CAMK1G",25081,13728,15732
"cn.MMP27",0.566140905020242,"greater","cn","MMP27",25082,15158,15733
"cn.MMP8",0.566140905020242,"greater","cn","MMP8",25082,15159,15734
"cn.DNAI2",0.566148615237755,"less","cn","DNAI2",25083,15160,13154
"cn.TTYH2",0.566148615237755,"less","cn","TTYH2",25083,15161,13155
"ge.CYP27A1",0.56624818518126,"less","ge","CYP27A1",25084,13729,13156
"ge.PKD2",0.566249365213015,"less","ge","PKD2",25085,13730,13157
"ge.TAF12",0.566261182883528,"less","ge","TAF12",25086,13731,13158
"cn.DGCR6L",0.566305269679092,"less","cn","DGCR6L",25087,15162,13159
"ge.ACD",0.5663154304816,"less","ge","ACD",25088,13732,13160
"cn.LMLN",0.56640924230718,"less","cn","LMLN",25089,15163,13161
"cn.NR2C2",0.56648248871461,"greater","cn","NR2C2",25090,15164,15735
"ge.LNX1",0.566544874157961,"greater","ge","LNX1",25091,13733,15736
"cn.HHLA1",0.566593301744495,"less","cn","HHLA1",25092,15165,13162
"ge.NCF2",0.566601388694813,"less","ge","NCF2",25093,13734,13163
"ge.LINC00847",0.566688092275611,"greater","ge","LINC00847",25094,13735,15737
"ge.RRP1",0.566809763383063,"greater","ge","RRP1",25095,13736,15738
"ge.AACS",0.566818543876903,"less","ge","AACS",25096,13737,13164
"cn.RNF11",0.566883051149895,"less","cn","RNF11",25097,15166,13165
"cn.TTC39A",0.566883051149895,"less","cn","TTC39A",25097,15167,13166
"cn.MAPK1",0.567004223008605,"greater","cn","MAPK1",25098,15168,15739
"ge.NDUFA12",0.567025252316565,"less","ge","NDUFA12",25099,13738,13167
"cn.GUSBP2",0.567033322560984,"less","cn","GUSBP2",25100,15169,13168
"ge.KIF18A",0.567244913410633,"less","ge","KIF18A",25101,13739,13169
"cn.PTRH2",0.567298842959156,"greater","cn","PTRH2",25102,15170,15740
"cn.SHANK3",0.567536901311763,"greater","cn","SHANK3",25103,15171,15741
"cn.SNTN",0.567633188948315,"less","cn","SNTN",25104,15172,13170
"cn.RGS11",0.567657391230428,"greater","cn","RGS11",25105,15173,15742
"cn.HSPA12B",0.567698624088087,"greater","cn","HSPA12B",25106,15174,15743
"cn.DNAJC27",0.567813336952417,"less","cn","DNAJC27",25107,15175,13171
"cn.UHMK1",0.567825404492651,"greater","cn","UHMK1",25108,15176,15744
"ge.SLC39A11",0.567852458396592,"less","ge","SLC39A11",25109,13740,13172
"cn.RNF169",0.56819618190557,"greater","cn","RNF169",25110,15177,15745
"cn.OR5D13",0.568219337588675,"greater","cn","OR5D13",25111,15178,15746
"cn.OR5D14",0.568219337588675,"greater","cn","OR5D14",25111,15179,15747
"cn.OR5L1",0.568219337588675,"greater","cn","OR5L1",25111,15180,15748
"ge.ACTR3",0.568229158795469,"greater","ge","ACTR3",25112,13741,15749
"cn.CST1",0.568435884797053,"greater","cn","CST1",25113,15181,15750
"cn.INTS4P1",0.568483680191963,"less","cn","INTS4P1",25114,15182,13173
"cn.ZRANB3",0.568486797964856,"less","cn","ZRANB3",25115,15183,13174
"cn.EGOT",0.568494586430273,"greater","cn","EGOT",25116,15184,15751
"ge.PNMAL1",0.568546992712927,"greater","ge","PNMAL1",25117,13742,15752
"cn.LCE2B",0.56867395188826,"less","cn","LCE2B",25118,15185,13175
"ge.FBXL5",0.568697587025762,"greater","ge","FBXL5",25119,13743,15753
"ge.HGD",0.568724356744844,"less","ge","HGD",25120,13744,13176
"cn.CACNA1D",0.568730419331498,"greater","cn","CACNA1D",25121,15186,15754
"cn.C12ORF49",0.568769684294202,"less","cn","C12ORF49",25122,15187,13177
"cn.DOCK1",0.568830902567005,"less","cn","DOCK1",25123,15188,13178
"ge.CD82",0.56890204799357,"less","ge","CD82",25124,13745,13179
"cn.CHAT",0.568961280326927,"less","cn","CHAT",25125,15189,13180
"cn.NTSR2",0.568978073141708,"less","cn","NTSR2",25126,15190,13181
"ge.TIAM2",0.569048639873113,"less","ge","TIAM2",25127,13746,13182
"cn.HSD3B7",0.569053367429289,"greater","cn","HSD3B7",25128,15191,15755
"cn.SETD1A",0.569053367429289,"greater","cn","SETD1A",25128,15192,15756
"cn.STX1B",0.569053367429289,"greater","cn","STX1B",25128,15193,15757
"cn.TMTC4",0.569072518535007,"less","cn","TMTC4",25129,15194,13183
"cn.MMP1",0.569149667447032,"greater","cn","MMP1",25130,15195,15758
"cn.MMP10",0.569149667447032,"greater","cn","MMP10",25130,15196,15759
"cn.ATG16L1",0.569266018365423,"less","cn","ATG16L1",25131,15197,13184
"ge.UTP6",0.569442987621882,"greater","ge","UTP6",25132,13747,15760
"cn.NPHP1",0.56947701324088,"less","cn","NPHP1",25133,15198,13185
"ge.IDH3B",0.569530679821685,"greater","ge","IDH3B",25134,13748,15761
"cn.NPLOC4",0.56955331561241,"less","cn","NPLOC4",25135,15199,13186
"cn.MMP23A",0.569557966022966,"less","cn","MMP23A",25136,15200,13187
"cn.MRPS25",0.569675758998113,"greater","cn","MRPS25",25137,15201,15762
"cn.RBSN",0.569675758998113,"greater","cn","RBSN",25137,15202,15763
"cn.ACAD10",0.569692485892654,"less","cn","ACAD10",25138,15203,13188
"cn.FLG2",0.569738148959025,"less","cn","FLG2",25139,15204,13189
"cn.RPS10P7",0.5698162866746,"greater","cn","RPS10P7",25140,15205,15764
"ge.CPA1",0.569895613364695,"greater","ge","CPA1",25141,13749,15765
"ge.C1ORF216",0.569931996812792,"greater","ge","C1ORF216",25142,13750,15766
"cn.PDCL",0.569935682468494,"less","cn","PDCL",25143,15206,13190
"cn.RC3H2",0.569935682468494,"less","cn","RC3H2",25143,15207,13191
"cn.SLC6A13",0.569976706419918,"less","cn","SLC6A13",25144,15208,13192
"cn.WDR3",0.570055742137036,"less","cn","WDR3",25145,15209,13193
"cn.ESF1",0.570073738973826,"greater","cn","ESF1",25146,15210,15767
"cn.NDUFAF5",0.570073738973826,"greater","cn","NDUFAF5",25146,15211,15768
"cn.GDAP2",0.570167140326146,"less","cn","GDAP2",25147,15212,13194
"ge.RABEP2",0.570208144101587,"less","ge","RABEP2",25148,13751,13195
"cn.SYNDIG1",0.570327808324947,"greater","cn","SYNDIG1",25149,15213,15769
"cn.TCEAL5",0.570468233919009,"less","cn","TCEAL5",25150,15214,13196
"cn.PRSS21",0.570592486382608,"less","cn","PRSS21",25151,15215,13197
"cn.PRSS33",0.570592486382608,"less","cn","PRSS33",25151,15216,13198
"cn.PRSS41",0.570592486382608,"less","cn","PRSS41",25151,15217,13199
"cn.SRRM2",0.570592486382608,"less","cn","SRRM2",25151,15218,13200
"cn.TCEB2",0.570592486382608,"less","cn","TCEB2",25151,15219,13201
"ge.MBD6",0.570637541504785,"greater","ge","MBD6",25152,13752,15770
"ge.MARCO",0.570649336681035,"less","ge","MARCO",25153,13753,13202
"cn.XYLB",0.570667097997335,"greater","cn","XYLB",25154,15220,15771
"cn.CELSR1",0.570744418359667,"greater","cn","CELSR1",25155,15221,15772
"cn.TNFRSF13C",0.570798279509076,"greater","cn","TNFRSF13C",25156,15222,15773
"cn.S100B",0.570803018798549,"greater","cn","S100B",25157,15223,15774
"ge.PFDN2",0.570970787678895,"less","ge","PFDN2",25158,13754,13203
"ge.IMPG2",0.57100762335278,"greater","ge","IMPG2",25159,13755,15775
"cn.TMEM100",0.571019387312107,"less","cn","TMEM100",25160,15224,13204
"ge.NCKIPSD",0.571258231944394,"greater","ge","NCKIPSD",25161,13756,15776
"mu.ADAMTS18_F695LFS.7",0.571536157500104,"na","mu","ADAMTS18_F695LFS.7",25162,95,96
"mu.APC_T1556NFS.3",0.571536157500104,"na","mu","APC_T1556NFS.3",25162,96,97
"mu.ATF1_T146R",0.571536157500104,"na","mu","ATF1_T146R",25162,97,98
"mu.ATN1_Q502DEL",0.571536157500104,"na","mu","ATN1_Q502DEL",25162,98,99
"mu.ATXN1_Q222.Q225DEL",0.571536157500104,"na","mu","ATXN1_Q222.Q225DEL",25162,99,100
"mu.BCL9_P516LFS.5",0.571536157500104,"na","mu","BCL9_P516LFS.5",25162,100,101
"mu.HOMEZ_E537DEL",0.571536157500104,"na","mu","HOMEZ_E537DEL",25162,101,102
"mu.KDM5A_G1200DFS.9",0.571536157500104,"na","mu","KDM5A_G1200DFS.9",25162,102,103
"mu.KRAS_G12A",0.571536157500104,"na","mu","KRAS_G12A",25162,103,104
"mu.MAP3K5_D988DUP",0.571536157500104,"na","mu","MAP3K5_D988DUP",25162,104,105
"mu.MAP4K3_X333.SPLICE",0.571536157500104,"na","mu","MAP4K3_X333.SPLICE",25162,105,106
"mu.MGA_V1993F",0.571536157500104,"na","mu","MGA_V1993F",25162,106,107
"mu.MYO3B_H316L",0.571536157500104,"na","mu","MYO3B_H316L",25162,107,108
"mu.PDE4DIP_S2089DEL",0.571536157500104,"na","mu","PDE4DIP_S2089DEL",25162,108,109
"mu.PRKAA2_X32.SPLICE",0.571536157500104,"na","mu","PRKAA2_X32.SPLICE",25162,109,110
"mu.SORL1_M1581CFS.34",0.571536157500104,"na","mu","SORL1_M1581CFS.34",25162,110,111
"mu.THAP11_Q130.Q132DEL",0.571536157500104,"na","mu","THAP11_Q130.Q132DEL",25162,111,112
"mu.TP53_X126.SPLICE",0.571536157500104,"na","mu","TP53_X126.SPLICE",25162,112,113
"mu.TP53_X225.SPLICE",0.571536157500104,"na","mu","TP53_X225.SPLICE",25162,113,114
"mu.TTN_T29195P",0.571536157500104,"na","mu","TTN_T29195P",25162,114,115
"ge.TGM6",0.571569636898719,"greater","ge","TGM6",25163,13757,15777
"cn.POLR3C",0.5716691297367,"less","cn","POLR3C",25164,15225,13205
"ge.CACNG5",0.57170145396291,"greater","ge","CACNG5",25165,13758,15778
"cn.PZP",0.57175393117925,"less","cn","PZP",25166,15226,13206
"cn.HIST2H3D",0.57187302665401,"less","cn","HIST2H3D",25167,15227,13207
"cn.MSI1",0.572178336566161,"less","cn","MSI1",25168,15228,13208
"cn.PCNA",0.572226055743638,"greater","cn","PCNA",25169,15229,15779
"cn.TMEM230",0.572226055743638,"greater","cn","TMEM230",25169,15230,15780
"ge.LIPF",0.572377612926727,"less","ge","LIPF",25170,13759,13209
"cn.ITIH2",0.572391049488841,"less","cn","ITIH2",25171,15231,13210
"cn.KIN",0.572391049488841,"less","cn","KIN",25171,15232,13211
"ge.TIMM8B",0.572397542362516,"greater","ge","TIMM8B",25172,13760,15781
"ge.ZDHHC6",0.572527309831185,"greater","ge","ZDHHC6",25173,13761,15782
"cn.TDRG1",0.572716576999537,"greater","cn","TDRG1",25174,15233,15783
"cn.SCARNA5",0.572811187223432,"less","cn","SCARNA5",25175,15234,13212
"cn.SCARNA6",0.572811187223432,"less","cn","SCARNA6",25175,15235,13213
"cn.MRS2",0.5728291591222,"greater","cn","MRS2",25176,15236,15784
"ge.ZFP41",0.572925299015897,"less","ge","ZFP41",25177,13762,13214
"ge.NDUFAF5",0.572947032800554,"greater","ge","NDUFAF5",25178,13763,15785
"cn.FAM229B",0.573007500710805,"greater","cn","FAM229B",25179,15237,15786
"cn.LAMA4",0.573007500710805,"greater","cn","LAMA4",25179,15238,15787
"cn.TUBE1",0.573007500710805,"greater","cn","TUBE1",25179,15239,15788
"cn.WISP3",0.573007500710805,"greater","cn","WISP3",25179,15240,15789
"cn.CXORF57",0.57305124324616,"less","cn","CXORF57",25180,15241,13215
"cn.RNF128",0.57305124324616,"less","cn","RNF128",25180,15242,13216
"ge.ZNF311",0.573052253333358,"less","ge","ZNF311",25181,13764,13217
"cn.RFX8",0.573144592460755,"less","cn","RFX8",25182,15243,13218
"cn.S100A1",0.573192574816036,"less","cn","S100A1",25183,15244,13219
"cn.S100A13",0.573192574816036,"less","cn","S100A13",25183,15245,13220
"cn.S100A14",0.573192574816036,"less","cn","S100A14",25183,15246,13221
"cn.S100A16",0.573192574816036,"less","cn","S100A16",25183,15247,13222
"cn.TGDS",0.573227176484599,"less","cn","TGDS",25184,15248,13223
"cn.GPC4",0.573287339213493,"less","cn","GPC4",25185,15249,13224
"cn.TFDP3",0.573287339213493,"less","cn","TFDP3",25185,15250,13225
"cn.USP26",0.573287339213493,"less","cn","USP26",25185,15251,13226
"cn.ACOT9",0.57331478298388,"greater","cn","ACOT9",25186,15252,15790
"cn.BEND5",0.573340984070571,"greater","cn","BEND5",25187,15253,15791
"cn.C3ORF20",0.573398353628481,"greater","cn","C3ORF20",25188,15254,15792
"cn.JADE3",0.573401147801351,"greater","cn","JADE3",25189,15255,15793
"cn.CLDN5",0.573541004248126,"less","cn","CLDN5",25190,15256,13227
"ge.CYP3A43",0.573658489267537,"greater","ge","CYP3A43",25191,13765,15794
"cn.TEX26",0.573688516414085,"greater","cn","TEX26",25192,15257,15795
"cn.KCTD12",0.573693279461923,"less","cn","KCTD12",25193,15258,13228
"cn.FBLN5",0.573759940905723,"greater","cn","FBLN5",25194,15259,15796
"ge.MYH13",0.573783232391707,"greater","ge","MYH13",25195,13766,15797
"cn.PROKR2",0.573794350960921,"greater","cn","PROKR2",25196,15260,15798
"cn.CTBP2",0.573833017188113,"greater","cn","CTBP2",25197,15261,15799
"cn.RTN4",0.573926447488242,"less","cn","RTN4",25198,15262,13229
"ge.SP5",0.573947457185483,"less","ge","SP5",25199,13767,13230
"ge.CAB39",0.573952642997137,"greater","ge","CAB39",25200,13768,15800
"cn.C11ORF70",0.574165516641149,"greater","cn","C11ORF70",25201,15263,15801
"cn.POMC",0.574374200025179,"less","cn","POMC",25202,15264,13231
"cn.GPD1L",0.574587035699493,"greater","cn","GPD1L",25203,15265,15802
"ge.DIO1",0.574616650738641,"less","ge","DIO1",25204,13769,13232
"cn.FAM26D",0.574776961997198,"greater","cn","FAM26D",25205,15266,15803
"cn.FAM138E",0.574787408656627,"greater","cn","FAM138E",25206,15267,15804
"cn.OR4F4",0.574787408656627,"greater","cn","OR4F4",25206,15268,15805
"cn.WASH3P",0.574787408656627,"greater","cn","WASH3P",25206,15269,15806
"cn.SPAG17",0.574827923501474,"less","cn","SPAG17",25207,15270,13233
"cn.NPHP4",0.574888426728265,"less","cn","NPHP4",25208,15271,13234
"ge.SCNN1G",0.575014566727549,"less","ge","SCNN1G",25209,13770,13235
"cn.APOC1",0.575114566009164,"greater","cn","APOC1",25210,15272,15807
"cn.APOC1P1",0.575114566009164,"greater","cn","APOC1P1",25210,15273,15808
"cn.APOC4",0.575114566009164,"greater","cn","APOC4",25210,15274,15809
"cn.VAV2",0.575126650386899,"greater","cn","VAV2",25211,15275,15810
"cn.TNFRSF11B",0.575188580682497,"greater","cn","TNFRSF11B",25212,15276,15811
"cn.ABCB9",0.575194361475877,"greater","cn","ABCB9",25213,15277,15812
"cn.DRICH1",0.575234151068143,"greater","cn","DRICH1",25214,15278,15813
"cn.C2ORF50",0.575267207375475,"less","cn","C2ORF50",25215,15279,13236
"cn.CCR7",0.575324175513982,"greater","cn","CCR7",25216,15280,15814
"cn.TREML3P",0.575403031623261,"greater","cn","TREML3P",25217,15281,15815
"ge.IL12B",0.575476117544644,"greater","ge","IL12B",25218,13771,15816
"cn.MGAT5",0.575536376650922,"less","cn","MGAT5",25219,15282,13237
"cn.PRLHR",0.575540659911262,"less","cn","PRLHR",25220,15283,13238
"ge.ARL5B",0.57567407609654,"less","ge","ARL5B",25221,13772,13239
"cn.CDC45",0.575703714155637,"less","cn","CDC45",25222,15284,13240
"cn.TRAM2",0.575712554087198,"greater","cn","TRAM2",25223,15285,15817
"ge.SRR",0.575733496440252,"greater","ge","SRR",25224,13773,15818
"cn.SUPT20H",0.575807630684133,"greater","cn","SUPT20H",25225,15286,15819
"cn.FAM204A",0.575831921135373,"less","cn","FAM204A",25226,15287,13241
"cn.RPL6",0.575909957359886,"less","cn","RPL6",25227,15288,13242
"ge.DAPL1",0.575944737248591,"greater","ge","DAPL1",25228,13774,15820
"cn.CCDC74A",0.5761027592342,"less","cn","CCDC74A",25229,15289,13243
"cn.GPHN",0.576125896864487,"less","cn","GPHN",25230,15290,13244
"ge.COL9A3",0.576148859191506,"greater","ge","COL9A3",25231,13775,15821
"ge.UBR4",0.57620524780577,"greater","ge","UBR4",25232,13776,15822
"ge.IBTK",0.576258827942492,"less","ge","IBTK",25233,13777,13245
"ge.FOXO1",0.576375844924086,"less","ge","FOXO1",25234,13778,13246
"cn.MEDAG",0.576393394422331,"greater","cn","MEDAG",25235,15291,15823
"cn.TCEAL8",0.57641300678313,"less","cn","TCEAL8",25236,15292,13247
"ge.MRPS34",0.576553501507527,"less","ge","MRPS34",25237,13779,13248
"cn.POC1A",0.576579372023049,"greater","cn","POC1A",25238,15293,15824
"ge.USP22",0.576582128609341,"greater","ge","USP22",25239,13780,15825
"ge.RPS6KB1",0.576827497443763,"greater","ge","RPS6KB1",25240,13781,15826
"cn.ANKRD40",0.57688971077747,"less","cn","ANKRD40",25241,15294,13249
"cn.RASD2",0.576917573625838,"greater","cn","RASD2",25242,15295,15827
"ge.CELSR2",0.576934464606006,"less","ge","CELSR2",25243,13782,13250
"cn.KIAA0907",0.577154314480454,"greater","cn","KIAA0907",25244,15296,15828
"cn.C1QTNF4",0.577277574187965,"less","cn","C1QTNF4",25245,15297,13251
"cn.FAM180B",0.577277574187965,"less","cn","FAM180B",25245,15298,13252
"cn.KBTBD4",0.577277574187965,"less","cn","KBTBD4",25245,15299,13253
"cn.NDUFS3",0.577277574187965,"less","cn","NDUFS3",25245,15300,13254
"cn.PTPMT1",0.577277574187965,"less","cn","PTPMT1",25245,15301,13255
"cn.CLASP2",0.577288062272012,"greater","cn","CLASP2",25246,15302,15829
"cn.EFHB",0.577293487885907,"greater","cn","EFHB",25247,15303,15830
"cn.PP2D1",0.577293487885907,"greater","cn","PP2D1",25247,15304,15831
"cn.RAB5A",0.577293487885907,"greater","cn","RAB5A",25247,15305,15832
"cn.SECTM1",0.577293931421168,"less","cn","SECTM1",25248,15306,13256
"cn.TEX19",0.577293931421168,"less","cn","TEX19",25248,15307,13257
"cn.CCDC62",0.577375814426622,"greater","cn","CCDC62",25249,15308,15833
"cn.HIP1R",0.577375814426622,"greater","cn","HIP1R",25249,15309,15834
"ge.C8ORF37",0.577380665951758,"greater","ge","C8ORF37",25250,13783,15835
"cn.KCNE3",0.577441624934059,"greater","cn","KCNE3",25251,15310,15836
"ge.REG4",0.577471298898731,"greater","ge","REG4",25252,13784,15837
"ge.NDE1",0.577499005347484,"less","ge","NDE1",25253,13785,13258
"ge.C14ORF105",0.57751044740175,"less","ge","C14ORF105",25254,13786,13259
"cn.ZNF616",0.577512083738524,"greater","cn","ZNF616",25255,15311,15838
"cn.ZNF229",0.577562847086714,"greater","cn","ZNF229",25256,15312,15839
"ge.BIK",0.577612000634721,"less","ge","BIK",25257,13787,13260
"cn.RUNX3",0.577755403243651,"greater","cn","RUNX3",25258,15313,15840
"cn.TTC22",0.577763204099666,"less","cn","TTC22",25259,15314,13261
"cn.POLR3F",0.577772648231103,"greater","cn","POLR3F",25260,15315,15841
"cn.RBBP9",0.577772648231103,"greater","cn","RBBP9",25260,15316,15842
"cn.SEC23B",0.577772648231103,"greater","cn","SEC23B",25260,15317,15843
"ge.TBATA",0.577790616441166,"greater","ge","TBATA",25261,13788,15844
"ge.IL10RB",0.577806770054888,"less","ge","IL10RB",25262,13789,13262
"cn.RNASE1",0.577841438347972,"greater","cn","RNASE1",25263,15318,15845
"ge.RAB36",0.577869775829692,"less","ge","RAB36",25264,13790,13263
"ge.HOOK1",0.577923238177789,"less","ge","HOOK1",25265,13791,13264
"ge.ALKBH2",0.577962895083935,"greater","ge","ALKBH2",25266,13792,15846
"ge.LPA",0.578272179032889,"less","ge","LPA",25267,13793,13265
"cn.TMEM71",0.578307220121421,"less","cn","TMEM71",25268,15319,13266
