"feature","score","direction","type","gene","overall.rank","type.rank","direction.rank"
"cn.SLC35C2",0.000552807775789307,"less","cn","SLC35C2",5613,1748,2843
"cn.ZNF334",0.000552807775789307,"less","cn","ZNF334",5613,1749,2844
"ge.AGER",0.000553601098842988,"greater","ge","AGER",5614,4261,3166
"ge.MARS2",0.000553772968279269,"greater","ge","MARS2",5615,4262,3167
"ge.DTX1",0.000554695123077931,"greater","ge","DTX1",5616,4263,3168
"ge.POLH",0.000555728540849969,"greater","ge","POLH",5617,4264,3169
"cn.NRG2",0.000555941877893531,"less","cn","NRG2",5618,1750,2845
"cn.TP53RK",0.000556326932697484,"less","cn","TP53RK",5619,1751,2846
"ge.PSMD11",0.000556731197054162,"less","ge","PSMD11",5620,4265,2847
"cn.ERG",0.000558528060212103,"greater","cn","ERG",5621,1752,3170
"ge.TWIST1",0.000560448659787627,"less","ge","TWIST1",5622,4266,2848
"cn.GINS3",0.000561597670358847,"less","cn","GINS3",5623,1753,2849
"cn.LINC00113",0.000562247488372912,"greater","cn","LINC00113",5624,1754,3171
"ge.FANCL",0.000562301815617745,"greater","ge","FANCL",5625,4267,3172
"ge.HSDL2",0.000562652073841449,"less","ge","HSDL2",5626,4268,2850
"ge.TMA16",0.000563254959802211,"greater","ge","TMA16",5627,4269,3173
"ge.FAM124B",0.000563537390837799,"greater","ge","FAM124B",5628,4270,3174
"ge.MAPK8IP3",0.00056371687545496,"greater","ge","MAPK8IP3",5629,4271,3175
"ge.RIMBP2",0.000563743981524183,"greater","ge","RIMBP2",5630,4272,3176
"cn.ADAMTS1",0.000564376313287259,"greater","cn","ADAMTS1",5631,1755,3177
"cn.DAND5",0.000564631611205122,"greater","cn","DAND5",5632,1756,3178
"cn.GADD45GIP1",0.000564631611205122,"greater","cn","GADD45GIP1",5632,1757,3179
"ge.CYB5D2",0.000566094510680165,"less","ge","CYB5D2",5633,4273,2851
"cn.MCM3AP",0.000567373469447002,"greater","cn","MCM3AP",5634,1758,3180
"cn.BEAN1",0.000568031624275683,"less","cn","BEAN1",5635,1759,2852
"ge.NEUROD1",0.000568141066449872,"greater","ge","NEUROD1",5636,4274,3181
"ge.ZHX1",0.000570895303717624,"greater","ge","ZHX1",5637,4275,3182
"ge.N4BP1",0.000571588069800986,"less","ge","N4BP1",5638,4276,2853
